-181.578, 66.617, 3.042,  6.814
-181.576, 66.516, 3.043,  6.847
-181.575, 66.415, 3.018,  6.880
-181.574, 66.316, 2.970,  6.913
-181.572, 66.219, 2.917,  6.946
-181.571, 66.123, 2.868,  6.979
-181.570, 66.029, 2.829,  7.012
-181.569, 65.936, 2.805,  7.045
-181.568, 65.843, 2.800,  7.078
-181.567, 65.749, 2.814,  7.111
-181.566, 65.655, 2.842,  7.144
-181.564, 65.559, 2.880,  7.177
-181.563, 65.461, 2.925,  7.210
-181.562, 65.362, 2.972,  7.243
-181.561, 65.262, 3.021,  7.276
-181.560, 65.159, 3.069,  7.309
-181.559, 65.055, 3.115,  7.342
-181.558, 64.950, 3.159,  7.375
-181.557, 64.844, 3.198,  7.408
-181.556, 64.736, 3.228,  7.441
-181.555, 64.629, 3.228,  7.474
-181.555, 64.522, 3.200,  7.507
-181.554, 64.417, 3.150,  7.540
-181.553, 64.314, 3.095,  7.573
